"patient_id","question_id","model","score_bleu","score_rouge_l","score_bert"
1,7,"llama3.3-70b",0.7419447,1.0,0.9942252
1,8,"llama3.3-70b",0.0,0.6666667,0.9500606
1,9,"llama3.3-70b",0.44163352,0.81751823,0.9559273
2,0,"llama3.3-70b",0.7471472,0.9117647,0.98795235
2,1,"llama3.3-70b",1.0,1.0,1.0
2,2,"llama3.3-70b",0.22118947,0.5263158,0.9313144
2,3,"llama3.3-70b",0.4594372,0.9026549,0.96459377
2,4,"llama3.3-70b",0.18902186,0.42424244,0.9266916
2,5,"llama3.3-70b",0.8555262,1.0,0.9926506
2,6,"llama3.3-70b",0.46775723,0.8,0.9679147
2,7,"llama3.3-70b",0.7419447,1.0,0.9940113
2,8,"llama3.3-70b",0.0,0.6666667,0.95133424
2,9,"llama3.3-70b",0.30366823,0.6909091,0.9419756
3,0,"llama3.3-70b",1.0,1.0,1.0
3,1,"llama3.3-70b",0.8282477,0.9411765,0.9914837
3,2,"llama3.3-70b",0.23835357,0.51282054,0.92662555
3,3,"llama3.3-70b",0.27516678,0.6031746,0.929745
3,4,"llama3.3-70b",0.17238232,0.4057971,0.92184055
3,5,"llama3.3-70b",0.8423627,1.0,0.99366903
3,6,"llama3.3-70b",0.16718891,0.61333334,0.93343574
3,7,"llama3.3-70b",0.7419447,1.0,0.9929706
3,8,"llama3.3-70b",0.0,0.7692308,0.9586556
3,9,"llama3.3-70b",0.18813154,0.55445546,0.9140654
4,0,"llama3.3-70b",0.08324415,0.2820513,0.89404744
4,1,"llama3.3-70b",1.0,1.0,0.9999998
4,2,"llama3.3-70b",0.1341582,0.45454547,0.92931056
4,3,"llama3.3-70b",0.25831494,0.51724136,0.9296505
4,4,"llama3.3-70b",0.27658892,0.6,0.94032264
4,5,"llama3.3-70b",1.0,1.0,1.0
4,6,"llama3.3-70b",0.2048752,0.5405405,0.92959076
4,7,"llama3.3-70b",0.7419447,1.0,0.9929706
4,8,"llama3.3-70b",0.0,0.6666667,0.9528417
4,9,"llama3.3-70b",0.25479522,0.5869565,0.9313816
5,0,"llama3.3-70b",0.08367629,0.24657534,0.8792832
5,1,"llama3.3-70b",0.48326978,0.7826087,0.9670556
5,2,"llama3.3-70b",0.23835357,0.51282054,0.92662555
5,3,"llama3.3-70b",0.5257174,0.8035714,0.94605064
5,4,"llama3.3-70b",0.3402766,0.5833333,0.9409742
5,5,"llama3.3-70b",0.119395144,0.4,0.92812943
5,6,"llama3.3-70b",0.079149306,0.5479452,0.9240739
5,7,"llama3.3-70b",0.0,0.3478261,0.9355269
5,8,"llama3.3-70b",0.45480192,0.85714287,0.9705667
5,9,"llama3.3-70b",0.23646909,0.6363636,0.9365441
6,0,"llama3.3-70b",0.67636985,0.7012987,0.970396
6,1,"llama3.3-70b",0.35738802,0.8,0.9734447
6,2,"llama3.3-70b",0.16225022,0.45454547,0.9276804
6,3,"llama3.3-70b",0.34239432,0.7121212,0.95761883
6,4,"llama3.3-70b",0.25260654,0.49275362,0.9278866
6,5,"llama3.3-70b",0.1999283,0.42857143,0.9142305
6,6,"llama3.3-70b",0.0,0.12658228,0.85594237
6,7,"llama3.3-70b",0.7419447,1.0,0.9929706
6,8,"llama3.3-70b",0.0,0.6666667,0.9528417
6,9,"llama3.3-70b",0.55641764,0.8030303,0.9666282
7,0,"llama3.3-70b",0.38359597,0.5205479,0.929187
7,1,"llama3.3-70b",1.0,1.0,0.99999994
7,2,"llama3.3-70b",0.16225022,0.45454547,0.92973775
7,3,"llama3.3-70b",0.5045,0.7096774,0.9554407
7,4,"llama3.3-70b",0.37897104,0.65625,0.9583309
7,5,"llama3.3-70b",0.086783454,0.33333334,0.87833
7,6,"llama3.3-70b",0.0,0.21875,0.8606812
7,7,"llama3.3-70b",0.5193072,1.0,0.98847467
7,8,"llama3.3-70b",0.0,0.6666667,0.9528417
7,9,"llama3.3-70b",0.27106184,0.5811966,0.91705495
8,0,"llama3.3-70b",0.35155526,0.7123288,0.95871234
8,1,"llama3.3-70b",1.0,1.0,1.0000001
8,2,"llama3.3-70b",0.16225022,0.45454547,0.92673796
8,3,"llama3.3-70b",0.38231203,0.73170733,0.9475628
8,4,"llama3.3-70b",0.0,0.23529412,0.8832114
8,5,"llama3.3-70b",0.38246024,0.8333333,0.9564692
8,6,"llama3.3-70b",0.0,0.5121951,0.9099454
8,7,"llama3.3-70b",0.7419447,1.0,0.9943112
8,8,"llama3.3-70b",0.0,0.15151516,0.876277
8,9,"llama3.3-70b",0.2717491,0.59322035,0.92561436
9,0,"llama3.3-70b",0.20948099,0.37777779,0.90643406
9,1,"llama3.3-70b",0.59869087,0.9,0.9801069
9,2,"llama3.3-70b",0.0,0.11111111,0.83763385
9,3,"llama3.3-70b",0.52311134,0.88709676,0.96268606
9,4,"llama3.3-70b",0.348269,0.6,0.9439415
9,5,"llama3.3-70b",0.8423627,1.0,0.9931791
9,6,"llama3.3-70b",0.0,0.64285713,0.94876826
9,7,"llama3.3-70b",0.7419447,1.0,0.9929706
9,8,"llama3.3-70b",0.0,0.6666667,0.9528417
9,9,"llama3.3-70b",0.2255684,0.6238532,0.93599874
10,0,"llama3.3-70b",0.35367906,0.48101267,0.9271296
10,1,"llama3.3-70b",0.35738802,0.8,0.9623807
10,2,"llama3.3-70b",0.1234315,0.44444445,0.9280603
10,3,"llama3.3-70b",0.5463001,0.8484849,0.97122437
10,4,"llama3.3-70b",0.22038327,0.5,0.9327353
10,5,"llama3.3-70b",0.8265168,1.0,0.99188066
10,6,"llama3.3-70b",0.0,0.575,0.9320801
10,7,"llama3.3-70b",0.59460354,1.0,0.9879457
10,8,"llama3.3-70b",0.0,0.6666667,0.9528417
10,9,"llama3.3-70b",0.21744491,0.6055046,0.9294422
11,0,"llama3.3-70b",0.5109836,0.739726,0.9615475
11,1,"llama3.3-70b",1.0,1.0,0.99999994
11,2,"llama3.3-70b",0.22118947,0.5263158,0.92947257
11,3,"llama3.3-70b",0.26954323,0.7826087,0.951114
11,4,"llama3.3-70b",0.077162616,0.30769232,0.9014394
11,5,"llama3.3-70b",0.8423627,1.0,0.9931791
11,6,"llama3.3-70b",0.0,0.20779221,0.85478675
11,7,"llama3.3-70b",0.5193072,1.0,0.98847467
11,8,"llama3.3-70b",0.0,0.15,0.87647873
11,9,"llama3.3-70b",0.36709797,0.7768595,0.9482734
12,0,"llama3.3-70b",0.4431248,0.7619048,0.9624111
12,1,"llama3.3-70b",1.0,1.0,0.9999998
12,2,"llama3.3-70b",0.15848918,0.47619048,0.9320423
12,3,"llama3.3-70b",0.36644518,0.7936508,0.95441985
12,4,"llama3.3-70b",0.27270186,0.5151515,0.93538177
12,5,"llama3.3-70b",0.111169614,0.48,0.925249
12,6,"llama3.3-70b",0.21746516,0.675,0.95078903
12,7,"llama3.3-70b",0.27901593,0.85714287,0.9675128
12,8,"llama3.3-70b",0.0,0.6666667,0.9528417
12,9,"llama3.3-70b",0.44975525,0.7758621,0.9496533
13,0,"llama3.3-70b",0.5325738,0.7878788,0.96866083
13,1,"llama3.3-70b",0.59694916,0.8888889,0.99327046
13,2,"llama3.3-70b",0.22118947,0.5263158,0.9278576
13,3,"llama3.3-70b",0.40944344,0.7032967,0.94485694
13,4,"llama3.3-70b",0.26920655,0.55737704,0.93596095
13,5,"llama3.3-70b",0.0,0.36363637,0.9182466
13,6,"llama3.3-70b",0.52415586,0.8863636,0.96954215
13,7,"llama3.3-70b",0.7419447,1.0,0.9929706
13,8,"llama3.3-70b",0.0,0.6666667,0.9528417
13,9,"llama3.3-70b",0.40767232,0.8142857,0.9592164
14,0,"llama3.3-70b",0.38391247,0.50666666,0.9306552
14,1,"llama3.3-70b",0.0,0.5833333,0.947387
14,2,"llama3.3-70b",0.14282694,0.47826087,0.9290374
14,3,"llama3.3-70b",0.52803415,0.8091603,0.95410293
14,4,"llama3.3-70b",0.25430542,0.5,0.92640716
14,5,"llama3.3-70b",0.21067622,0.3768116,0.93368244
14,6,"llama3.3-70b",0.21971144,0.6511628,0.93665075
14,7,"llama3.3-70b",0.79635805,0.8695652,0.9761528
14,8,"llama3.3-70b",0.0,1.0,0.98339206
14,9,"llama3.3-70b",0.18016583,0.546875,0.91948986
15,0,"llama3.3-70b",0.32696754,0.46153846,0.9290646
15,1,"llama3.3-70b",1.0,1.0,0.9999998
15,2,"llama3.3-70b",0.14581709,0.4651163,0.92700654
15,3,"llama3.3-70b",0.3918242,0.75213677,0.9616257
15,4,"llama3.3-70b",0.33979207,0.5846154,0.9384931
15,5,"llama3.3-70b",0.8423627,1.0,0.9931791
15,6,"llama3.3-70b",0.16483094,0.6075949,0.93338746
15,7,"llama3.3-70b",0.59460354,1.0,0.9879457
15,8,"llama3.3-70b",0.0,0.6666667,0.9528417
15,9,"llama3.3-70b",0.3638593,0.69158876,0.9420585
16,0,"llama3.3-70b",0.86457074,0.94736844,0.9954178
16,1,"llama3.3-70b",0.41412386,0.6923077,0.9474025
16,2,"llama3.3-70b",0.33138803,0.52380955,0.9190629
16,3,"llama3.3-70b",0.0,0.32,0.8853213
16,4,"llama3.3-70b",0.82423675,0.84615386,0.97339034
16,5,"llama3.3-70b",0.8423627,0.9230769,0.97873425
16,6,"llama3.3-70b",0.0,0.38356164,0.8904366
16,7,"llama3.3-70b",0.2299752,0.7826087,0.96291804
16,8,"llama3.3-70b",0.0,0.6666667,0.9483905
16,9,"llama3.3-70b",0.14803645,0.53125,0.92193484
17,0,"llama3.3-70b",0.5076453,0.7346939,0.9622793
17,1,"llama3.3-70b",0.439537,0.88,0.9708446
17,2,"llama3.3-70b",0.22118947,0.5263158,0.9262944
17,3,"llama3.3-70b",0.44069147,0.72131145,0.9546588
17,4,"llama3.3-70b",0.3262307,0.5641026,0.9422067
17,5,"llama3.3-70b",0.8423627,1.0,0.9931791
17,6,"llama3.3-70b",0.41152042,0.78571427,0.9569231
17,7,"llama3.3-70b",0.7419447,1.0,0.9941976
17,8,"llama3.3-70b",0.0,1.0,0.98292255
17,9,"llama3.3-70b",0.3307813,0.7169811,0.9487654
18,0,"llama3.3-70b",0.8293181,0.93939394,0.98789674
18,1,"llama3.3-70b",0.2315289,0.4878049,0.93214333
18,2,"llama3.3-70b",0.2634273,0.3809524,0.9329142
18,3,"llama3.3-70b",0.6024393,0.8695652,0.98268497
18,4,"llama3.3-70b",0.82423675,0.8148148,0.9709999
18,5,"llama3.3-70b",0.8423627,1.0,0.99267346
18,6,"llama3.3-70b",0.29224867,0.6944444,0.95789856
18,7,"llama3.3-70b",0.58143073,0.90909094,0.9801212
18,8,"llama3.3-70b",0.0,1.0,0.9831574
18,9,"llama3.3-70b",0.67275643,0.8888889,0.9805921
19,0,"llama3.3-70b",1.0,1.0,0.9999999
19,1,"llama3.3-70b",0.48326978,0.7826087,0.9670556
19,2,"llama3.3-70b",0.23835357,0.51282054,0.92499053
19,3,"llama3.3-70b",0.30362725,0.7,0.9504708
19,4,"llama3.3-70b",0.17200768,0.5625,0.9427981
19,5,"llama3.3-70b",0.8423627,1.0,0.99183434
19,6,"llama3.3-70b",0.43570614,0.78651685,0.9569932
19,7,"llama3.3-70b",0.0,0.7826087,0.9645215
19,8,"llama3.3-70b",0.0,1.0,0.9822939
19,9,"llama3.3-70b",0.0,0.19672132,0.85229236
20,0,"llama3.3-70b",1.0,1.0,1.0
20,1,"llama3.3-70b",0.5873949,1.0,0.990374
20,2,"llama3.3-70b",0.16225022,0.45454547,0.92917305
20,3,"llama3.3-70b",0.27848992,0.4878049,0.9419996
20,4,"llama3.3-70b",0.33546263,0.61764705,0.94575936
20,5,"llama3.3-70b",0.14153945,0.36734694,0.8721026
20,6,"llama3.3-70b",0.16424356,0.6233766,0.9440748
20,7,"llama3.3-70b",0.7419447,1.0,0.9929706
20,8,"llama3.3-70b",0.0,0.7692308,0.9586556
20,9,"llama3.3-70b",0.3877879,0.67346936,0.94104797
21,0,"llama3.3-70b",0.74081165,0.9189189,0.9916583
21,1,"llama3.3-70b",0.59694916,0.8888889,0.99327046
21,2,"llama3.3-70b",0.17226253,0.4878049,0.9262425
21,3,"llama3.3-70b",0.40599,0.7758621,0.9595162
21,4,"llama3.3-70b",0.29894674,0.5294118,0.93579763
21,5,"llama3.3-70b",0.8423627,1.0,0.9931791
21,6,"llama3.3-70b",0.0,0.11111111,0.8600101
21,7,"llama3.3-70b",0.27901593,0.85714287,0.9675128
21,8,"llama3.3-70b",0.0,1.0,0.98339206
21,9,"llama3.3-70b",0.29481715,0.6181818,0.93816453
22,0,"llama3.3-70b",0.384835,0.4722222,0.9344614
22,1,"llama3.3-70b",0.59694916,0.8888889,0.98088485
22,2,"llama3.3-70b",0.0,0.25925925,0.8543949
22,3,"llama3.3-70b",0.5176535,0.8108108,0.9485476
22,4,"llama3.3-70b",0.08297429,0.21052632,0.87145686
22,5,"llama3.3-70b",0.8423627,0.9230769,0.9782995
22,6,"llama3.3-70b",0.0,0.13559322,0.8633446
22,7,"llama3.3-70b",0.7419447,1.0,0.9929706
22,8,"llama3.3-70b",0.0,0.6666667,0.9528417
22,9,"llama3.3-70b",0.20621279,0.54867256,0.9155281
23,0,"llama3.3-70b",0.75711906,0.9350649,0.9863759
23,1,"llama3.3-70b",1.0,1.0,1.0000002
23,2,"llama3.3-70b",0.19043377,0.5641026,0.9300628
23,3,"llama3.3-70b",0.0,0.41666666,0.9315591
23,4,"llama3.3-70b",0.0,0.42105263,0.9319606
23,5,"llama3.3-70b",0.8423627,1.0,0.99226904
23,6,"llama3.3-70b",0.22533754,0.57575756,0.94378126
23,7,"llama3.3-70b",0.7419447,1.0,0.9940546
23,8,"llama3.3-70b",0.0,0.6666667,0.9500606
23,9,"llama3.3-70b",0.29179272,0.5858586,0.941445
25,0,"llama3.3-70b",0.6999645,0.8888889,0.9846393
25,1,"llama3.3-70b",0.59869087,0.9,0.9801069
25,2,"llama3.3-70b",0.15848918,0.47619048,0.9279686
25,3,"llama3.3-70b",0.72305995,0.9,0.9861858
25,4,"llama3.3-70b",0.0,0.15,0.8750637
25,5,"llama3.3-70b",0.8423627,1.0,0.9931791
25,6,"llama3.3-70b",0.17649119,0.65789473,0.9362302
25,7,"llama3.3-70b",0.7419447,1.0,0.9929706
25,8,"llama3.3-70b",0.0,0.6666667,0.9528417
25,9,"llama3.3-70b",0.3112039,0.6984127,0.9369267
26,0,"llama3.3-70b",0.14628063,0.32258064,0.90531164
26,1,"llama3.3-70b",1.0,1.0,0.9999998
26,2,"llama3.3-70b",0.0,0.13953489,0.84599876
26,3,"llama3.3-70b",0.2486744,0.60294116,0.9311755
26,4,"llama3.3-70b",0.33979207,0.6086956,0.9443875
26,5,"llama3.3-70b",1.0,1.0,1.0
26,6,"llama3.3-70b",0.100168206,0.6419753,0.9475348
26,7,"llama3.3-70b",0.7419447,1.0,0.9929706
26,8,"llama3.3-70b",0.0,0.6666667,0.9528417
26,9,"llama3.3-70b",0.21167819,0.5689655,0.9354937
27,0,"llama3.3-70b",0.12092517,0.3119266,0.9000217
27,1,"llama3.3-70b",0.0,0.1904762,0.8839688
27,2,"llama3.3-70b",0.0,0.26415095,0.8495093
27,3,"llama3.3-70b",0.39888492,0.71929824,0.93122095
27,4,"llama3.3-70b",0.0,0.26666668,0.89822334
27,5,"llama3.3-70b",1.0,1.0,1.0
27,6,"llama3.3-70b",0.15216024,0.5915493,0.9330851
27,7,"llama3.3-70b",0.59460354,1.0,0.9879457
27,8,"llama3.3-70b",0.0,0.7692308,0.9586556
27,9,"llama3.3-70b",0.25813988,0.5904762,0.9272723
28,0,"llama3.3-70b",1.0,1.0,1.0
28,1,"llama3.3-70b",0.7426141,0.95652175,0.9795426
28,2,"llama3.3-70b",0.22070612,0.5,0.9289411
28,3,"llama3.3-70b",0.6420679,0.89285713,0.9793698
28,4,"llama3.3-70b",0.0,0.37037036,0.9185595
28,5,"llama3.3-70b",0.0,0.2264151,0.85757786
28,6,"llama3.3-70b",0.49439433,0.8947368,0.9716335
28,7,"llama3.3-70b",0.7419447,1.0,0.9942028
28,8,"llama3.3-70b",0.0,0.6666667,0.9500606
28,9,"llama3.3-70b",0.4551938,0.7037037,0.9478568
29,0,"llama3.3-70b",0.41971865,0.6944444,0.95672226
29,1,"llama3.3-70b",1.0,1.0,0.99999994
29,2,"llama3.3-70b",0.14581709,0.4651163,0.9306516
29,3,"llama3.3-70b",0.14949752,0.72,0.9107794
29,4,"llama3.3-70b",0.401485,0.62068963,0.9477648
29,5,"llama3.3-70b",0.8555262,1.0,0.9934716
29,6,"llama3.3-70b",0.26510283,0.6511628,0.94304967
29,7,"llama3.3-70b",0.7419447,1.0,0.9940213
29,8,"llama3.3-70b",0.0,0.1388889,0.8776613
29,9,"llama3.3-70b",0.23950095,0.5625,0.9322983
30,0,"llama3.3-70b",0.54827774,0.8333333,0.9749655
30,1,"llama3.3-70b",1.0,1.0,0.9999998
30,2,"llama3.3-70b",0.1341582,0.45454547,0.9297833
30,3,"llama3.3-70b",0.4253561,0.68907565,0.9318763
30,4,"llama3.3-70b",0.20261104,0.46376812,0.9267559
30,5,"llama3.3-70b",0.8265168,1.0,0.9925594
30,6,"llama3.3-70b",0.08729547,0.47058824,0.9207648
30,7,"llama3.3-70b",0.7419447,1.0,0.9929706
30,8,"llama3.3-70b",0.0,0.6666667,0.9528417
30,9,"llama3.3-70b",0.2114954,0.5346535,0.9152349
31,0,"llama3.3-70b",0.5859635,0.8,0.97161835
31,1,"llama3.3-70b",1.0,1.0,0.99999976
31,2,"llama3.3-70b",0.6107926,0.74285716,0.95150256
31,3,"llama3.3-70b",0.06555569,0.3125,0.91550124
31,4,"llama3.3-70b",0.23765153,0.42105263,0.9390178
31,5,"llama3.3-70b",1.0,1.0,0.9999999
31,6,"llama3.3-70b",0.0,0.41509435,0.88743526
31,7,"llama3.3-70b",0.27901593,0.85714287,0.9605443
31,8,"llama3.3-70b",0.0,0.7692308,0.95584
31,9,"llama3.3-70b",0.2862247,0.63529414,0.9340884
32,0,"llama3.3-70b",0.3423056,0.7037037,0.9551178
32,1,"llama3.3-70b",0.578357,1.0,0.99320644
32,2,"llama3.3-70b",0.14317124,0.3448276,0.87842613
32,3,"llama3.3-70b",0.0,0.4,0.9447522
32,4,"llama3.3-70b",0.2167183,0.3888889,0.9392385
32,5,"llama3.3-70b",0.8423627,1.0,0.99117184
32,6,"llama3.3-70b",0.0,0.47058824,0.9178158
32,7,"llama3.3-70b",0.312394,0.9,0.9811637
32,8,"llama3.3-70b",0.0,0.6666667,0.9500614
32,9,"llama3.3-70b",0.29859605,0.7256637,0.95620126
33,0,"llama3.3-70b",0.09672702,0.3018868,0.9233322
33,1,"llama3.3-70b",0.4463236,0.8888889,0.975948
33,2,"llama3.3-70b",0.17522359,0.4651163,0.92525166
33,3,"llama3.3-70b",0.5396227,0.875,0.97741723
33,4,"llama3.3-70b",0.41696626,0.62857145,0.9448371
33,5,"llama3.3-70b",1.0,1.0,1.0000001
33,6,"llama3.3-70b",0.3619001,0.78571427,0.9577561
33,7,"llama3.3-70b",0.59460354,1.0,0.9879457
33,8,"llama3.3-70b",0.0,0.6666667,0.9528417
33,9,"llama3.3-70b",0.28017095,0.6603774,0.93298846
34,0,"llama3.3-70b",0.41452706,0.7536232,0.96077496
34,1,"llama3.3-70b",0.78162754,0.9411765,0.98603094
34,2,"llama3.3-70b",0.23835357,0.51282054,0.9274083
34,3,"llama3.3-70b",0.52448475,0.82051283,0.9597432
34,4,"llama3.3-70b",0.29456675,0.6101695,0.9394983
34,5,"llama3.3-70b",0.8423627,1.0,0.9931791
34,6,"llama3.3-70b",0.0,0.11764706,0.8532217
34,7,"llama3.3-70b",0.59460354,1.0,0.9879457
34,8,"llama3.3-70b",0.0,0.7692308,0.9586556
34,9,"llama3.3-70b",0.32057193,0.6851852,0.94940513
35,0,"llama3.3-70b",0.68320215,0.8831169,0.9839574
35,1,"llama3.3-70b",0.78162754,0.9411765,0.98603094
35,2,"llama3.3-70b",0.22118947,0.5263158,0.92947257
35,3,"llama3.3-70b",0.22616881,0.63793105,0.9409632
35,4,"llama3.3-70b",0.3059856,0.5538462,0.934917
35,5,"llama3.3-70b",0.8265168,1.0,0.9923326
35,6,"llama3.3-70b",0.0,0.6,0.93871236
35,7,"llama3.3-70b",0.7419447,1.0,0.9929706
35,8,"llama3.3-70b",0.0,0.6666667,0.9528417
35,9,"llama3.3-70b",0.37948963,0.7047619,0.94346815
36,0,"llama3.3-70b",0.3911558,0.6849315,0.9587622
36,1,"llama3.3-70b",1.0,1.0,1.0
36,2,"llama3.3-70b",0.23835357,0.51282054,0.9297705
36,3,"llama3.3-70b",0.6325414,0.892562,0.9678741
36,4,"llama3.3-70b",0.36893952,0.5416667,0.9540492
36,5,"llama3.3-70b",1.0,1.0,1.0
36,6,"llama3.3-70b",0.5938872,0.8695652,0.9730048
36,7,"llama3.3-70b",0.4497332,0.95652175,0.9863519
36,8,"llama3.3-70b",0.0,1.0,0.98287237
36,9,"llama3.3-70b",0.344258,0.71428573,0.9428104
37,0,"llama3.3-70b",0.6117521,0.83076924,0.9735402
37,1,"llama3.3-70b",0.61322975,0.9166667,0.98207587
37,2,"llama3.3-70b",0.2929557,0.625,0.9337971
37,3,"llama3.3-70b",0.0,0.4,0.9550771
37,4,"llama3.3-70b",0.3468626,0.64,0.9451046
37,5,"llama3.3-70b",0.8423627,1.0,0.99323213
37,6,"llama3.3-70b",0.08932433,0.4528302,0.8927474
37,7,"llama3.3-70b",0.5193072,1.0,0.9879469
37,8,"llama3.3-70b",0.0,0.6666667,0.95133424
37,9,"llama3.3-70b",0.2866855,0.6911765,0.94629073
38,0,"llama3.3-70b",0.334489,0.49275362,0.9304225
38,1,"llama3.3-70b",0.59694916,0.8888889,0.98088485
38,2,"llama3.3-70b",0.17226253,0.4878049,0.9262425
38,3,"llama3.3-70b",0.577852,0.8939394,0.9706324
38,4,"llama3.3-70b",0.3211041,0.6216216,0.9426576
38,5,"llama3.3-70b",0.8423627,1.0,0.9931791
38,6,"llama3.3-70b",0.0,0.58666664,0.9351018
38,7,"llama3.3-70b",0.59460354,1.0,0.9879457
38,8,"llama3.3-70b",0.0,0.7692308,0.9586556
38,9,"llama3.3-70b",0.0,0.19417475,0.84106916
39,0,"llama3.3-70b",0.3651958,0.5,0.9301075
39,1,"llama3.3-70b",0.0,0.1904762,0.882528
39,2,"llama3.3-70b",0.0,0.25454545,0.8541758
39,3,"llama3.3-70b",0.29374182,0.61417323,0.9398899
39,4,"llama3.3-70b",0.36170152,0.6268657,0.9479791
39,5,"llama3.3-70b",1.0,1.0,1.0
39,6,"llama3.3-70b",0.3419076,0.7529412,0.95580953
39,7,"llama3.3-70b",0.0,0.5217391,0.89730656
39,8,"llama3.3-70b",0.44827002,0.85714287,0.9829341
39,9,"llama3.3-70b",0.17635253,0.59310347,0.9334207
40,0,"llama3.3-70b",0.59351075,0.82857144,0.97383994
40,1,"llama3.3-70b",1.0,1.0,1.0
40,2,"llama3.3-70b",0.16225022,0.45454547,0.93038535
40,3,"llama3.3-70b",0.648202,0.884058,0.97036815
40,4,"llama3.3-70b",0.21419123,0.5,0.9362734
40,5,"llama3.3-70b",0.8555262,1.0,0.9938894
40,6,"llama3.3-70b",0.5000115,0.8666667,0.97180897
40,7,"llama3.3-70b",0.59460354,1.0,0.9878214
40,8,"llama3.3-70b",0.0,0.5882353,0.91987246
40,9,"llama3.3-70b",0.4393298,0.7966102,0.9448565
41,0,"llama3.3-70b",1.0,1.0,1.0
41,1,"llama3.3-70b",0.59694916,0.8888889,0.98088485
41,2,"llama3.3-70b",0.17522359,0.4651163,0.9183579
41,3,"llama3.3-70b",0.44024673,0.83168316,0.9443385
